Open Time (UTC),Close Time (UTC),Symbol,Open Price,Close Price,Total Size,Closed PNL,Exchange fee paid,Funding fee paid,Realised PNL,ROI
2024-09-27 1:13,2024-09-27 13:20,REEFUSDT USDT-Margin,0.00521756,0.005513,83178,24.57428400 USDT,0.53552781 USDT,-3.10270961 USDT,27.14146580 USDT,37.33%
2024-09-27 13:10,2024-09-27 13:17,1000 PEPEUSDT USDT-Margin,0.0106725,0.0106845,50063,0.60075600 USDT,0.64151729 USDT,0.00000000 USDT,-0.04076129 USDT,-0.04%
2024-09-27 10:54,2024-09-27 13:10,CFXUSDT USDT-Margin,0.1898,0.1857,2.00E+03,-8.20000000 USDT,0.45060000 USDT,0.00000000 USDT,-8.65060000 USDT,-9.04%
2024-09-27 4:54,2024-09-27 10:39,MEWUSDT USDT-Margin,0.00663626,0.006405,36088,-8.34573000 USDT,0.28237981 USDT,0.08449145 USDT,-8.71260126 USDT,-17.92%
2024-09-27 4:28,2024-09-27 10:39,ROSEUSDT USDT-Margin,0.07696,0.07761747,5613,3.69039000 USDT,0.52058601 USDT,0.03295588 USDT,3.13684811 USDT,4.33%
2024-09-27 0:54,2024-09-27 4:27,MEWUSDT USDT-Margin,0.006617,0.00657154,37037,-1.68361500 USDT,0.29307843 USDT,0.00000000 USDT,-1.97669343 USDT,-4.03%
2024-09-27 0:58,2024-09-27 4:27,WIFUSDT USDT-Margin,2.2499,2.24747156,109,-0.26470000 USDT,0.29412810 USDT,0.00000000 USDT,-0.55882810 USDT,-1.13%
2024-09-26 22:07,2024-09-26 23:56,POPCATUSDT USDT-Margin,1.0327,1.02760964,467,-2.37720000 USDT,0.57729876 USDT,0.00000000 USDT,-2.95449876 USDT,-7.22%
2024-09-26 17:45,2024-09-26 17:54,1000 PEPEUSDT USDT-Margin,0.0095221,0.0094795,64023,-2.72725370 USDT,0.72992374 USDT,0.00000000 USDT,-3.45717744 USDT,-7.93%
2024-09-26 14:21,2024-09-26 17:44,ZROUSDT USDT-Margin,5.05971739,5.202,110.4,15.70800000 USDT,0.67973616 USDT,-0.11392723 USDT,15.14219107 USDT,54.21%
2024-09-26 14:20,2024-09-26 14:20,MEWUSDT USDT-Margin,0.006478,0.006469,52445,-0.47200500 USDT,0.23753389 USDT,0.00000000 USDT,-0.70953889 USDT,-2.50%
2024-09-26 5:19,2024-09-26 14:19,SAGAUSDT USDT-Margin,2.4995,2.4386,204,-12.42360000 USDT,0.60442344 USDT,0.05086332 USDT,-13.07888676 USDT,-30.57%
2024-09-26 5:18,2024-09-26 5:19,MEWUSDT USDT-Margin,0.006305,0.00628443,76611,-1.57575600 USDT,0.57869337 USDT,0.00000000 USDT,-2.15444937 USDT,-4.90%
2024-09-26 5:14,2024-09-26 5:18,SAGAUSDT USDT-Margin,2.4899,2.4893,201,-0.12060000 USDT,0.60049152 USDT,0.00000000 USDT,-0.72109152 USDT,-1.57%
2024-09-26 2:08,2024-09-26 4:55,MEWUSDT USDT-Margin,0.00614403,0.00613859,135911,-0.73871300 USDT,1.00160597 USDT,0.00000000 USDT,-1.74031897 USDT,-3.75%
2024-09-25 23:57,2024-09-26 0:50,POPCATUSDT USDT-Margin,0.98714391,0.9674,501,-9.89170000 USDT,0.58753590 USDT,0.05136416 USDT,-10.53060006 USDT,-18.85%
2024-09-25 19:19,2024-09-25 23:04,POPCATUSDT USDT-Margin,1.0193857,0.979,1189,-48.01860000 USDT,1.42564836 USDT,0.00000000 USDT,-49.44424836 USDT,-47.85%
2024-09-25 18:53,2024-09-25 19:16,WLDUSDT USDT-Margin,2.1388,2.1313,304,-2.28000000 USDT,0.45376864 USDT,0.00000000 USDT,-2.73376864 USDT,-2.50%
2024-09-25 5:08,2024-09-25 18:52,NOTUSDT USDT-Margin,0.008632,0.00835989,8.82E+04,-24.00037500 USDT,0.89921066 USDT,0.10996776 USDT,-25.00955342 USDT,-16.42%
2024-09-25 15:09,2024-09-25 18:52,SAGAUSDT USDT-Margin,2.62552185,2.54894034,238,-18.22640000 USDT,0.54459660 USDT,0.06088040 USDT,-18.83187700 USDT,-32.30%
2024-09-25 3:16,2024-09-25 4:57,MEWUSDT USDT-Margin,0.00628124,0.00609208,164438,-31.10508800 USDT,1.22078630 USDT,0.00000000 USDT,-32.32587430 USDT,-18.77%
2024-09-25 3:02,2024-09-25 3:07,NOTUSDT USDT-Margin,0.008356,0.008398,55571,2.33398200 USDT,0.55862192 USDT,0.00000000 USDT,1.77536008 USDT,3.82%
2024-09-25 3:02,2024-09-25 3:07,STXUSDT USDT-Margin,2.03800845,2.03379577,213,-0.89730000 USDT,0.52037658 USDT,0.00000000 USDT,-1.41767658 USDT,-3.18%
2024-09-25 2:38,2024-09-25 3:07,POPCATUSDT USDT-Margin,1.07302568,1.0583,475,-6.99470000 USDT,0.60742782 USDT,0.00000000 USDT,-7.60212782 USDT,-17.59%
2024-09-25 2:35,2024-09-25 3:07,MEWUSDT USDT-Margin,0.006236,0.00619257,97286,-4.22558400 USDT,0.72547524 USDT,0.00000000 USDT,-4.95105924 USDT,-8.16%
2024-05-03 17:57,2024-05-03 19:27,PENDLEUSDT USDT-Margin,5.1829,4.8696,71,-22.24430000 USDT,0.39255013 USDT,0.00000000 USDT,-22.63685013 USDT,-100.87%
2024-04-29 23:06,2024-04-30 7:33,POPCATUSDT USDT-Margin,0.42959282,0.3857,1726,-75.75900000 USDT,0.84431724 USDT,0.07539168 USDT,-76.67870892 USDT,-100.54%
2024-04-29 22:34,2024-04-29 23:05,WIFUSDT USDT-Margin,2.7482,2.78818278,3.60E+02,14.39380000 USDT,0.70118268 USDT,0.00000000 USDT,13.69261732 USDT,16.31%
2024-04-27 17:59,2024-04-28 23:13,SAGAUSDT USDT-Margin,3.7284,3.67771524,361,-18.29720000 USDT,1.60416456 USDT,0.37323100 USDT,-20.27459556 USDT,-19.26%
2024-04-25 17:55,2024-04-26 22:52,WIFUSDT USDT-Margin,3.19359421,2.7926,397,-159.19470000 USDT,1.42591146 USDT,0.21173400 USDT,-160.83234546 USDT,-100.58%
2024-04-22 6:06,2024-04-24 22:02,PENDLEUSDT USDT-Margin,6.0262,6.2337,125,25.93750000 USDT,0.54285500 USDT,0.63985512 USDT,24.75478988 USDT,61.89%
2024-04-22 20:19,2024-04-24 22:02,WIFUSDT USDT-Margin,2.9421,3.2497,291,89.51160000 USDT,1.08108828 USDT,0.53323150 USDT,87.89728022 USDT,142.61%
2024-04-24 1:54,2024-04-24 22:02,ONDOUSDT USDT-Margin,0.8602,0.8578,593,-1.42320000 USDT,0.61126440 USDT,0.10361710 USDT,-2.13808150 USDT,-4.11%
2024-04-22 15:48,2024-04-23 8:13,POPCATUSDT USDT-Margin,0.35747794,0.3559,1777,-2.80400000 USDT,0.76060356 USDT,4.13328049 USDT,-7.69788405 USDT,-23.96%
2024-04-19 15:09,2024-04-22 14:39,SAGAUSDT USDT-Margin,4.18223935,4.23963241,216,12.39690000 USDT,1.09147458 USDT,0.84923798 USDT,10.45618744 USDT,22.88%
2024-04-22 6:12,2024-04-22 14:39,WIFUSDT USDT-Margin,3.0509,2.8993,242,-36.68720000 USDT,0.86396904 USDT,0.07115752 USDT,-37.62232656 USDT,-50.11%
2024-04-22 6:07,2024-04-22 6:12,TNSRUSDT USDT-Margin,1.105,1.105,517,0.00000000 USDT,0.68554200 USDT,0.00000000 USDT,-0.68554200 USDT,-0.95%
2024-04-20 17:52,2024-04-21 12:25,WIFUSDT USDT-Margin,3.06626383,3.02314255,235,-10.13350000 USDT,0.85860630 USDT,0.11493954 USDT,-11.10704584 USDT,-13.73%
2024-04-20 17:52,2024-04-21 7:19,DOGEUSDT USDT-Margin,0.16336816,0.1633,2466,-0.16809000 USDT,0.48333821 USDT,0.04009887 USDT,-0.69152708 USDT,-1.70%
2024-04-13 12:33,2024-04-13 17:14,JTOUSDT USDT-Margin,3.31792821,3.0952,429,-95.55040000 USDT,1.65073920 USDT,0.14629758 USDT,-97.34743678 USDT,-101.01%
2024-04-13 2:54,2024-04-13 3:03,ETHUSDT USDT-Margin,3208.56,3216.51,-0.93,-7.39350000 USDT,3.58518906 USDT,0.00000000 USDT,-10.97868906 USDT,-10.12%
2024-04-12 19:06,2024-04-12 19:48,BTCUSDT USDT-Margin,66878.1,66868,0.078,-0.78780000 USDT,3.65107158 USDT,0.00000000 USDT,-4.43887158 USDT,-3.95%
2024-04-12 18:06,2024-04-12 18:33,ENAUSDT USDT-Margin,1.24517942,1.119,2469,-311.53700000 USDT,2.95241540 USDT,0.00000000 USDT,-314.48941540 USDT,-100.39%
2024-04-12 18:11,2024-04-12 18:12,WIFUSDT USDT-Margin,2.908,2.8859,7,-0.15470000 USDT,0.02433438 USDT,0.00000000 USDT,-0.17903438 USDT,-8.66%
2024-04-08 21:32,2024-04-12 13:25,WIFUSDT USDT-Margin,3.88727657,3.20031479,845,-580.48270000 USDT,3.38417382 USDT,4.57019881 USDT,-588.43707263 USDT,-80.09%
2024-04-08 9:58,2024-04-12 13:25,1000 PEPEUSDT USDT-Margin,0.00737414,0.0069636,346606,-142.29616910 USDT,2.21505933 USDT,1.39637404 USDT,-145.90760247 USDT,-33.94%
2024-04-12 2:39,2024-04-12 13:25,ONDOUSDT USDT-Margin,0.824,0.75023163,1524,-112.42300000 USDT,0.88245340 USDT,0.28089983 USDT,-113.58635323 USDT,-62.67%
2024-04-08 9:19,2024-04-12 13:05,DEGENUSDT USDT-Margin,0.04125,0.03106,33426,-340.61094000 USDT,0.76080919 USDT,7.87161984 USDT,-349.24336903 USDT,-102.30%
2024-04-11 17:03,2024-04-12 0:33,SAGAUSDT USDT-Margin,5.14973352,5.1439142,352,-2.04840000 USDT,2.17401840 USDT,0.17963264 USDT,-4.40205104 USDT,-2.37%
2024-04-11 13:00,2024-04-11 23:19,ENAUSDT USDT-Margin,1.5093324,1.356,2136,-327.51800000 USDT,3.67221000 USDT,0.30608880 USDT,-331.49629880 USDT,-100.49%
2024-04-11 0:36,2024-04-11 16:30,PENDLEUSDT USDT-Margin,7.0948,7.08480719,153,-1.52890000 USDT,1.30168794 USDT,0.22554495 USDT,-3.05613289 USDT,-2.48%
2024-04-06 5:49,2024-04-11 13:02,ORDIUSDT USDT-Margin,65.12208168,74.09301035,44.44,398.66807000 USDT,2.71702323 USDT,5.03981950 USDT,390.91122727 USDT,268.27%
2024-04-10 16:54,2024-04-11 13:00,SAGAUSDT USDT-Margin,5.90192849,5.22491425,358,-242.37110000 USDT,2.39004582 USDT,0.42889510 USDT,-245.19004092 USDT,-57.27%
2024-04-08 14:09,2024-04-10 13:15,PENDLEUSDT USDT-Margin,6.63267543,6.5024875,232,-30.20360000 USDT,1.42737228 USDT,0.89690241 USDT,-32.52787469 USDT,-12.49%
2024-04-10 12:40,2024-04-10 12:47,SEIUSDT USDT-Margin,0.63819807,0.6532,-2851,-42.77050000 USDT,2.20906554 USDT,0.00000000 USDT,-44.97956554 USDT,-26.27%
2024-04-08 23:28,2024-04-10 12:38,FETUSDT USDT-Margin,2.82238917,2.4194,517,-208.34540000 USDT,1.62600300 USDT,0.68514542 USDT,-210.65654842 USDT,-100.73%
2024-04-10 6:07,2024-04-10 12:29,ENAUSDT USDT-Margin,1.369,1.35411144,673,-10.02000000 USDT,1.09959240 USDT,-0.21811464 USDT,-10.90147776 USDT,-5.88%
2024-04-08 20:18,2024-04-09 13:45,GRTUSDT USDT-Margin,0.35229759,0.34602238,4032,-25.30166000 USDT,1.15018052 USDT,0.28067110 USDT,-26.73251162 USDT,-14.96%
2024-04-07 14:45,2024-04-09 13:14,ENAUSDT USDT-Margin,1.233,1.232,841,-0.84100000 USDT,1.24383900 USDT,1.09295117 USDT,-3.17779017 USDT,-1.52%
2024-04-07 14:46,2024-04-09 13:14,1000 FLOKIUSDT USDT-Margin,0.20838,0.20524,2415,-7.58310000 USDT,0.34771653 USDT,0.33740854 USDT,-8.26822507 USDT,-9.70%
2024-04-08 0:16,2024-04-09 8:08,OPUSDT USDT-Margin,3.19946221,3.21458993,962.1,14.55438000 USDT,3.70257574 USDT,0.80534486 USDT,10.04645940 USDT,4.10%
